,national,hor_name,hor_num,sex,age,debut,total_first,total_second,total_game,win_rate,total_game_1yr,total_earn,total_earn_1yr
2,한국,럭키소천,039465,암,3,20180826,1,2,8,12.5,8,61800000,61800000
3,한국,풀문오션,039674,암,3,20181110,1,1,7,14.3,7,30840000,30840000
4,한국,운명에폴링,038656,암,3,20181104,1,0,4,25,4,13680000,13680000
5,한국,프라이빗맨,039311,수,3,20181006,1,1,8,12.5,8,56600000,56600000
6,한국,사려니킹,033564,거,6,20151024,2,3,47,4.3,11,111900000,14000000
7,한국,헤이드리머,038621,거,3,20180519,0,3,7,0,7,26040000,26040000
8,한국,라오진,038578,암,3,20180701,1,0,7,14.3,6,55000000,55000000
9,한국,논스톱플라잉,039265,암,3,20181215,1,0,5,20,5,27200000,27200000
0,한국,와니케이,037835,암,4,20180526,2,0,14,14.3,12,54920000,54920000
1,한국,플라잉헤라,037193,암,4,20171104,0,2,14,0,7,27200000,15200000
2,한국,선더머니,037634,거,4,20180624,1,1,12,8.3,11,28880000,28880000
3,미국,운주영웅,040108,거,3,20180728,0,0,11,0,11,1600000,1600000
4,한국,뉴패러다임,038991,암,3,20181020,1,2,7,14.3,7,48000000,48000000
5,한국,당대질주,038775,암,3,20180826,0,1,8,0,8,21920000,21920000
6,한국,골드페릴라,039486,수,3,20181006,1,0,11,9.1,11,27920000,27920000
7,한국,불사불패,036125,암,5,20170812,1,3,18,5.6,8,47600000,10000000
8,한국,머니샤프,037194,수,4,20171217,0,1,12,0,10,14880000,14880000
9,한국,지서니,037355,암,4,20170820,1,1,14,7.1,7,32140000,4000000
0,한국,수제비,037270,거,4,20171223,1,0,17,5.9,12,22000000,18880000
1,한국,굿초이스,037813,수,4,20170812,1,0,20,5,12,34960000,30160000
2,한국,아이엠위너,037059,암,4,20170826,1,0,20,5,11,34000000,25920000
3,한국,오케이탑,039057,수,3,20181124,0,3,5,0,5,33000000,33000000
4,한국,흑전사,038628,수,3,20181223,3,0,6,50,6,89600000,89600000
5,한국,그린다르크,038969,암,3,20180825,2,1,9,22.2,9,79200000,79200000
6,한국,맘껏달려,035884,거,5,20161022,2,3,27,7.4,9,95600000,36800000
7,한국,델타케이,035333,거,5,20161105,2,4,25,8,7,130400000,28200000
8,한국,남손,037909,거,4,20171014,2,2,15,13.3,8,115800000,36000000
9,한국,베스트에버,037195,수,4,20181014,2,1,7,28.6,7,55680000,55680000
0,한국,대성루비,035766,암,5,20161016,2,1,25,8,10,88720000,52600000
1,한국,파이어볼,035199,거,5,20160529,2,4,30,6.7,9,120750000,37200000
2,한국,루카스,038497,암,3,20180623,2,3,13,15.4,12,84430000,74680000
3,미국,문학쓰나미,041675,수,3,20180929,2,2,9,22.2,9,134250000,134250000
4,미국,금노아,038176,수,5,20161217,2,2,21,9.5,8,107775000,50175000
5,미국,남촌아티스트,039886,수,4,20171104,2,2,14,14.3,6,105900000,15750000
6,미국,몬테비데오,039995,수,4,20170916,0,2,11,0,8,51600000,28800000
7,미국,블루마스타,041742,암,3,20180929,1,2,10,10,10,92850000,92850000
8,미국,적벽신화,039816,거,4,20170730,2,1,20,10,11,148950000,96000000
9,미국,대군제패,041679,수,3,20181118,1,2,6,16.7,6,88800000,88800000
0,미국,돌아온날리,038073,수,5,20161008,1,1,21,4.8,6,100950000,22500000
1,미국,번개라이언,036382,수,6,20150719,1,3,33,3,7,88000000,12600000
2,미국,미스터터너,039980,거,4,20171014,1,3,18,5.6,11,91950000,63000000
3,한국,도끼블레이드,038910,수,3,20180812,2,2,6,33.3,6,144000000,144000000
4,한국,명품축제,038738,수,3,20180812,3,1,7,42.9,7,288180000,288180000
5,한국,글로벌축제,038906,수,3,20181007,4,0,7,57.1,7,236150000,236150000
6,한국,심장의고동,038511,수,3,20190127,2,1,6,33.3,6,224000000,224000000
7,한국,원더풀플라이,038576,수,3,20180701,3,1,5,60,4,565500000,531300000
8,호주,킹즈스텝,043381,수,2,20190519,1,0,2,50,2,42750000,42750000
9,호주,레벨탑,043384,거,2,20190427,0,0,2,0,2,0,0
0,미국,더검푸,041900,수,2,20190622,0,0,1,0,1,0,0
1,호주,아리안왕자,043374,수,2,20190622,0,0,1,0,1,0,0
2,미국,명진플라이,041914,거,2,20190622,0,1,1,0,1,15750000,15750000
3,호주,브리가디어제너럴,043383,수,2,20190622,0,0,1,0,1,9750000,9750000
4,미국,아메리칸포스원,041885,수,2,20190601,0,0,2,0,2,3750000,3750000
5,미국,문학에카티,043387,수,2,20190601,0,0,2,0,2,10800000,10800000
6,미국,문학서브,043388,수,2,20190622,0,0,1,0,1,0,0
7,미국,그레이킹덤,041901,수,2,20190622,0,0,1,0,1,0,0
8,호주,탑플라잉,043385,거,2,20190525,0,0,2,0,2,0,0
9,미국,켄터키망치,043439,거,2,20190622,0,0,1,0,1,0,0
0,미국,스프링백,041660,거,3,20180728,4,3,9,44.4,9,261000000,261000000
1,미국,노벰버모닝,034484,거,7,20140726,4,4,39,10.3,12,259280000,44100000
2,미국,바람속으로,036536,거,6,20151011,3,3,31,9.7,9,173650000,12600000
3,미국,에이스러너,038045,수,5,20160723,3,3,25,12,8,258500000,26700000
4,한국,컴플리트스윕,037429,수,4,20171125,4,3,14,28.6,10,233750000,116550000
5,미국,지오스타,038204,거,5,20161106,2,5,15,13.3,8,213150000,46800000
6,한국,야호스마트캣,037644,거,4,20170820,6,1,14,42.9,7,249600000,108300000
7,미국,짱콩,039891,수,4,20180722,3,0,8,37.5,8,138000000,138000000
8,한국,장산와일드,036976,거,4,20180203,6,2,15,40,10,264900000,173700000
9,미국,슈퍼플루이드,040113,수,3,20180721,2,1,11,18.2,11,148500000,148500000
0,한국,흥바람,037082,수,4,20171014,5,1,17,29.4,11,200850000,123450000
1,한국,스마트파티,038630,암,3,20181208,1,0,7,14.3,7,13680000,13680000
2,한국,페넘브라,038730,암,3,20190413,0,0,3,0,3,1600000,1600000
